sleepdata
Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
2019-03-31 01:09:09,2019-03-31 08:55:25,80%,7:46,,,0,0
2019-03-31 23:06:08,2019-04-01 04:26:47,61%,5:20,,,0,0
2019-04-01 22:41:24,2019-04-02 05:00:58,75%,6:19,,,0,0
2019-04-02 22:25:56,2019-04-03 05:00:50,61%,6:34,,,0,0
2019-04-03 22:43:07,2019-04-04 04:59:45,65%,6:16,,,0,0
2019-04-04 22:33:29,2019-04-05 05:14:59,72%,6:41,,,0,0
2019-04-05 23:17:56,2019-04-06 07:10:17,73%,7:52,,,0,0
2019-04-06 21:39:53,2019-04-07 06:15:19,100%,8:35,,,0,0
2019-04-08 00:07:17,2019-04-08 05:01:58,59%,4:54,,,0,0
